Restaurant ID,Restaurant Name,City,country name,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
8130,Cafe Coffee Day,Noida,India,"Ground Floor, Logix Cyber Park, Tower B, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.366672,28.61274,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,14
8138,Meeting Point Corner,Noida,India,"Near Corenthum Building, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.373868,28.628087,Chinese,200,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,14
8147,FOA - The Flavours of Arabia,Gurgaon,India,"3rd Floor, Ninex City Mart Mall, Sohna Road, Gurgaon","Ninex City Mart Mall, Sohna Road","Ninex City Mart Mall, Sohna Road, Gurgaon",77.041376,28.416703,indian,1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,165
8151,Zaika,Noida,India,"Tradex Tower 2, Alpha Commercial Belt, Alpha 1, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.514511,28.472462,indian,600,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,50
8152,Kolkata Roll Point,Noida,India,"MSX Tower 1, Alpha 1, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.515407,28.473263,FAST FOOD,100,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,9
8153,Cafe Light,Faridabad,India,"Shop 38, Upper Ground Floor, Parsvnath City Mall, Sector 12, Faridabad","Parsavnath City Mall, Sector 12, Faridabad","Parsavnath City Mall, Sector 12, Faridabad, Faridabad",77.314488,28.383705,FAST FOOD,500,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,8
8160,Deli Belly,New Delhi,India,"Shop 31, Ground Floor, DLF Tower B, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.288496,28.539803,indian,1000,Indian Rupees(Rs.),Yes,No,No,No,3,2.6,Orange,Average,49
8167,Lalit Kathi Rolls Momos,Faridabad,India,"Main HUDA Market, Sector 29, Faridabad",Sector 29,"Sector 29, Faridabad",77.321126,28.433452,FAST FOOD,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,9
8169,Bangali Sweets & Restaurant,Faridabad,India,"6, Plot 17, New DLF, Indraprastha Colony, Faridabad",Indraprastha Colony,"Indraprastha Colony, Faridabad",77.315358,28.453463,Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
8201,Dunkin' Donuts,New Delhi,India,"309, 2nd Floor, DLF Place Mall, Saket, New Delhi","DLF Place Mall, Saket","DLF Place Mall, Saket, New Delhi",77.216883,28.528228,FAST FOOD,600,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,426
8215,Mandrain,New Delhi,India,"Food Court, V3S Mall, Laxmi Nagar, New Delhi","V3S Mall, Laxmi Nagar","V3S Mall, Laxmi Nagar, New Delhi",77.287026,28.636982,Chinese,450,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,7
